rating,date,coment_title,coment_description
5,19 julio 2017,Impresionante,"Hice el tour full day por Uros y Taquile, y es super recomendado. Es preciosa la vista, las islas flotantes construidas con totora, caminar en ellas, conocer como es el proceso de construcción, conocer las costumbres de sus habitantes...Taquile por otro lado es muy tranquilo,...Más"
5,19 julio 2017,Impreionante,"Es impresionante el lago ,inmenso y lleno de historias q vienen del inmperio inca con sus islas tan peculiares donde se aprecia como vive la gente lejos de la modernidad de la ciudad con sus habitos ancestrales y podemos compartir con ellos en la visita...Más"
5,17 julio 2017,Sensacional.,"Se siente la magia en este lugar la atencion de los pobladores de la zona muy amables y el recorrido en lancha fue comodo,recomiendo el hospedaje en la isla es una sensacion única"
5,17 julio 2017,Relajante y excepcional,"Se viajo en yate, desde el puerto las tarifas son unicas... el paseo dura aproximadamente unas 3 horas. La vista es genial, conocer las islas flotantes y saber como estas se forman con gran ingenio."
4,16 julio 2017,Esplendido,"El lago navegable de mayor altura en el mundo, definitivamente una parada qud vale la pena incluir en tu recorrido por el Peru. En el puerto en la ciudad de Puno puedes tomar embarcaciones para las isla de los Uros y otros destinos magnificos. Hay...Más"
5,15 julio 2017,Un paisaje de ensueño,"El lago tiene mucho que ofrecer a los visitantes, tanto paisajísticamente como también las expresiones culturales."
4,13 julio 2017,Excelente..!,"Lago Titicaca, un lugar de paijes muy hermosos, mas que un lago es cultura, tradicional.
anonadada por su magnitud, que belleza!.
hay tantos lugares que conocer en este hermoso país, sólo viajando uno puede ver la realidad y aprender. ni que decir de sus Islas...Más"
5,11 julio 2017,Muy interesante,Merece la pena el soportar el mal de altura para ver como viven Los Uros. La vista al atardecer es maravillosa.
4,9 julio 2017,Espectacular lago por su tamaño,"Merece la pena contratar una excursión de todo el día recorriendo el lago de mas de 160x60 km de largo y ancho. Nosotros visitamos una de las islas flotantes donde viven los nativos, además de la Isla Taquile. Esta muy controlado y no demasiado ""turistizado"",`pero si algo. Eso si, hay que madrugar y conviene contratar una de las lanchas llamadas rápidas."
4,6 julio 2017,En lago más alto del planeta,Vale la pena visitar la isla de la tribu Uros Y realizar la visita alguna de las islas para comprender la cultura de esta civilización milenaria
4,6 julio 2017,Bonito,Es muy bonito el lago y su entorno. Muchos restos de civilizaciones. Lo hicimos en catamarán el paseo por el lago y nos resultó muy interesante.
4,4 julio 2017,Agradable paseo por el lago,Dimos un agradable paseo por el lago para ir a las islas de los Uros y a la isla de Taquilé. Se atraviesan las plantaciones de totora.
5,3 julio 2017,muy hermoso,"el lago titicaca es muy hermoso, la isla flotante de los uros es super majestuosa y la isla natural de taquile es un encanto
mi experiencia fue realmente inolvidable"
1,2 julio 2017,No recomendable,"La experiencia no fue buena, nos llevaron a tres Islas en una solo intentaron vendernos souvenirs que los puedes encontrar en cualquier sitio de Peru, en otra a poner un sello en el pasaporte y en la otra a comer y visitar un centro de...Más"
5,30 junio 2017,Sitio Magico,La paz y buena vibra que se respira en el lugar es incomparable. El color del cielo y de sus agua también lo son.
4,28 junio 2017,Bella vista,"El Titicaca es un bello lago de color azul
Enorme como pocos en el mundo
Vale la pena navegarlos y conocer a los Uros y su sin igual sistema de vida.
La Isla Taquile esta muy sobrevalorada, es bastante menos interesante de lo que uno...Más"
5,28 junio 2017,Visita imperdible si vas a Puno,"Aunque quizás el Lago Titicaca se ha vuelto una atracción muy turística, aún es posible disfrutar de la grandeza de este lago en tours diarios o tomando los ferries que salen del puerto por libre.
La opción del turismo vivencial también es aún posible, pudiendo...Más"
5,25 junio 2017,Excelente experiencia.,"Ir preparados por el soroche, me afectó llegando a Puno, pero descanse 2 hrs y tome un paseo en Puno y al día siguiente hice el recorrido del lago en 1 solo día. Experiencia inolvidable y vale la pena ir a esos lugares. Loa URSS...Más"
2,24 junio 2017,Demasiado turistico,"Esta demasiado preparado para el turismo, intentan sacarte dinero para todos los lados, si volviera atras eligiria otro destino"
4,22 junio 2017,Precioso,"Impresiona ver la inmensidad que tiene
Cuando vas en las barcas es muy emocionante
Es muy fotográfico tanto al atardecer como al amanecer"
4,20 junio 2017,MARAVILLOSO,Ver el atardecer y el amanecer sobre el magnifico lago Titicaca es impagable! Es increíblemente hermoso!
5,18 junio 2017,un lugar unico,"imperdible su visita, navegarlo y conocer sus diferentes islas y su gente, toda una bella aventura. Super."
4,16 junio 2017,El lago más alto del mundo junto con una cultura milenaria ,"Cuando llegue a este punto tan interesante jamás pensé encontrar una gran diversidad cultural tanto artesanal como gastronómica, además de ir a las islas flotantes de los uros, una tribu milenaria de los cuales son unas personas súper amables, y te darán un tour por...Más"
3,11 junio 2017,Interesante pero muy turistizado,"Visitar el lago navegable más alto del mundo crea expectativas, pero a mí me resultó bastante decepcionante, ya desde los miradores de Puno la imagen no me pareció bonita. El lago es tan grande que parece el mar, y está poco cuidado. Yo fui a...Más"
5,9 junio 2017,Espectacular experiencia ,Fue una de las visitas que más disfruté en mi visita a Perú y por momentos la experiencia superó a Machu Picchu. Desde el muelle salen pequeñas embarcaciones que dan el recorrido incluyendo la Isla de Los Uros y la Isla Taquille. Imperdible si vas...Más
5,9 junio 2017,Increibles los uros!!!,"Es muy saludable el intercambio con culturas diferentes,fomentan el respeto por la diversidad y muestran las multiples maneras de vivir,ha sido muy enriquecedor compartir con una familia de las islas flotantes,ver sus costumbres estar en sus casas,ver como viven su dia a dia,las imagenes impresionates,el...Más"
5,5 junio 2017,GIGANTE,"Pensar que se está navegando en el lago más alto del mundo es cuasi inexplicable, un paisaje muy bello y un lago con colores maravillosos hay algo de movimiento cuando se llega a mitad de camino, essoportable. Muy buena experiencia"
5,3 junio 2017,MARAVILLOSO !!!,"Nunca imagine llegar tan lejos, a tanta altitud que hermoso es el Lago titicaca, muy buena opcion para ir en pareja, podria decir que es romantico y al mismo tiempo divertido, nos quedamos asombrados por el amanecer tan hermoso !!"
4,30 mayo 2017,Muy turístico,"El lago es precioso, pero lo han convertido en una atracción turística, sobre todo en puno, desde donde salen las barcas para las islas de los Uros. Sin embargo cuando ibamos para Bolivia pudimos ver una perspectiva preciosa del lago y sin nadie que te...Más"
5,30 mayo 2017,IMPERDIBLE... INOLVIDABLE!!!,"Una experiencia inolvidable... cielo estrellado, estrellas fugaces y sobre todo la más linda y cálida compañía conociendo de sus costumbres, historias y gran hospitabilidad. IMPERDIBLE!!!"
5,29 mayo 2017,Espectacular,"El lago es maravilloso, impresionante y mágico. en Taquile hubo oportunidad de bañarnos una bella experiencia."
4,29 mayo 2017,un paisaje sin fin,Nos toco navegarlo en un dia que las aguas estaban tranquilas y la vista es hermosa. Visitamos las islas de uros y taquile. De regreso nos quedamos un rato en el puerto contemplando el paisaje
5,29 mayo 2017,Experiencia unica,A puno fuimos por 2 dias. La verdad no recomiendo mucho quedarse por muchos dias ya que la falta de aire aqui pega heavy. Pero conocer el lago vale la pena. Es un lugar hermoso. Tener la posibilidad de conocer y visitar 1 de las...Más
5,28 mayo 2017,Un lugar mágico ,"Hace unos días tuve oportunidad de estar en isla de uros, lago titicaca y taquile, aunque son lugares hermosos, no recomiendo visitarlos si su viaje es de una semana, nosotros viajamos de cusco a Puno en camión, la ida no fue tan cansada, pero llegando...Más"
5,24 mayo 2017,Una experiencia inolvidable,Es la primera vez que fuí a Puno a conocer el tan famoso Lago Titicaca. El lugar es bellísimo. Se accede desde el puerto en un yate que te lleva hacia una de las islas donde los pobladores te reciben con mucha gentileza y explican...Más
5,22 mayo 2017,Inmenso y maravilloso,"Una de las maravillas que me deparó el viaje. El lago es increible, por su inmensidad, sus aguas cristalinas y el paisaje que lo rodea."
5,22 mayo 2017,Impresionante,"Realmente impresionante, hice toda la rivera hasta desaguadero y me dejo una excelente impresión. Me encanto la diversidad de flora y fauna y lo pintoresco del paisaje es algo inolvidable que sin duda volvería a visitar."
5,19 mayo 2017,Impresionante y hermoso,"Está ubicado muy cerca de la ciudad de Puno, y es un lago que impresiona por su inmensidad, por la tranquilidad de sus aguas, y porque tiene un halo de misterio y misticismo. Realmente es una Maravilla de la naturaleza¡¡¡"
5,17 mayo 2017,Inmensidad,"Nunca imaginé que el Titicaca fuera un lago tan extenso! Solo viajar de Puno a La Paz en barco toma aproximadamente diez horas! Una inmensidad de agua, ubicada a 4000msm lo vuelve el lago navegable más alto del mundo. 40% perteneciente al territorio boliviano, 60%...Más"
5,16 mayo 2017,¡Hermoso!,"Es una de las mejores experiencias que me llevo de mi viaje a Perú. Hermoso, místico, arrebata los sentidos."
5,14 mayo 2017,Realmente ...hermoso !!,"El dìa estuvo impecable, asì como la navegaciòn por tranquilas aguas; maravillosos paisajes, inmenso.!!"
4,11 mayo 2017,turistico,es un lugar atractivo y con mucha historia pero los nativos de las islas flotantes se les esta llendo la mano y hacen comedias en sus actos tratos con los turistas
5,9 mayo 2017,HERMOSISIMO!!,"Resulta impactante. Hermosisimo. Hicimos la excursion con la agencia de viajes Casona Tours, a la isla de los Uros y Taquile en lancha rapida."
5,9 mayo 2017,Maravilloso!!!,"La salida desde el Puerto de Puno es muy organizada. En esta ocasion fuimos a la Isla de los Uros e Isla Taquile. Es increible ver como los habitantes se relacionan, como los uros con sus islas artificiales, y como otros como los taquiles conservan...Más"
5,7 mayo 2017,me encantó.,navegar por el lago mas alto del mundo es una maravilla. Es un espejo de agua con fantásticas montañas e islas para recorrer.
5,3 mayo 2017,Vistas de otro planeta,"Tengo la fortuna de trabajar muy cerca de ahí y siempre es relajante verlo, poder ver el reflejo de la Luna de noche es lo mejor."
5,30 abril 2017,Es muy hermoso!,"Es muy extenso, muentras más avanzas el color del lago se pone azul, encontrando una vista imperdible."
4,30 abril 2017,No es una turistada ver a los Uros,"Ver las islas flotantes de los Uros en el Lago Titicaca ( Puma Gris.
Es una comunidad de habla quechua. Te muestran como es su vida"
5,25 abril 2017,"Hermoso, impactante, místico","El Lago TIticaca es realmete muy bonito, dependiendo del clima sus aguas adoptan distintas tonalidades espectaculares, desde el verde en día nublado hasta azules en días soleados. Es un lugar muy místico, te llena de energía y está lleno de cultura de principio a fin."
5,24 abril 2017,Hermoso y místico ,"El lago Titicaca es un lugar obligado para visitar si estás en Puno, en el muelle se puede comprar artesanías propias del lugar y también hay lugares típicos para poder comer, ahí también se pueden tomar los barcos para visitar las diferentes islas."
5,21 abril 2017,Al natural,"estar en el lago ya es una fantasía pero estar en una isla, fabricada por la comunidad es excelente,"
5,21 abril 2017,Al final conoci lo que estudiamos en la escuela,"Lleno de sorpresas
Un lugar soñado que hemos estudiado en la escuela
Los Uros y la Isla Taquile son sus atracciones principales"
5,20 abril 2017,Impresionante,"El lago es espectacular. Visitamos el lado boliviano, que nos dijeron que era más auténtico. El lado peruano dicen que está mucho más explotado para el turismo. Imposible recorrerlo entero en un día. Visitamos la isla del sol y la de la luna y nos...Más"
5,19 abril 2017,Lago titicaca,"Impresionante, como vivir en islas hechas de un material de lago ( totora) , magnífico tienen que visitarlo luego darse una vuelta por isla taquile"
4,17 abril 2017,Cerquísima y excelente vista,La vista del lago es excelente parece de película. Aunque actualmente está un poco contaminado aún conserva ese paisaje muy bonito. Para llegar al lago se puede hacer caminando desde la plaza de armas 15 o 20 minutos y adquirir un tour cerca al lago....Más
5,16 abril 2017,Lago Titicaca ,Puedes llegar caminando desde la plaza de armas y buscar un tour ahí mismo. El muelle también es un lugar muy lindo para ver un atardecer ( hace frío)
4,12 abril 2017,Paisaje exótico,"Es mu agradable el ambiente, un poco frió pero cuando sale el sol y esta todo despejado se crea una vista impresionante."
5,6 abril 2017,Lago Titicaca ,Es inmenso!!! Muy bonito. Frente al Hotel Jose Antonio Puno se encuentra este lago teniendo una vista panorámica bellísima. Sobretodo en los amaneceres y atardeceres maravillosos!!! Desde ahí te puedes ir a varios tours bonitos de la zona. Este hotel tiene su propio muelle.Lo recomiendo...Más
5,6 abril 2017,maravilloso,"pense que era parte de mar, es sumamente enorme y muy lido vistar, y hay excelentes lugares para observar la laguna y pasarla bien ."
4,6 abril 2017,Impresionante,"El lago mas alto del mundo navegable. Immenso, pertenece a Bolivia y Perú. Vale la pena visitar alguna de sus islas."
4,6 abril 2017,imperdible,"Si tienes un bien dio de sol , es espectacular , lamentablemente por algunas partes tiene una capa espesa de basura , da pena ver tantos plásticos y tecno por en las orillas...."
5,3 abril 2017,Impresionante...,"Si te quedas a pernoctar en las islas, la mística que hay te va a envolver y querrás quedarte allí para simpre."
5,30 marzo 2017,preciosa vista!! una de las mejores!!,"Puno es una ciudad que vive del turismo, asi que todo es muy barato (si no es la parte mas barata en peru), tiene una atraccion a la que no pueden faltar, la cual es el lago titicaca. No solo es por la vista o lo hermosa que puede ser, sino que tiene mucha historia, es ahi de donde vienen los primero incas. pueden tomar muy buenas fotos y tambien apoyar a la gente que vive alrededor de sus trabajos artesanales que son muy accesibles tambien! les recomiendo vayan abrigados hay mucha brisa! "
5,30 marzo 2017,Maravilloso sitio,"No es el sitio mas emblemático de Perú, pero es algo que merece la pena ver. Las excursiones para la visita del lago suelen ser dos días (así fue la mía), y te permiten acercarte a la tradición y artesanía de la fascinante cultura Peruana....Más"
5,29 marzo 2017,Muy lindo,"El lago es muy lindo, y se pueden ver paisajes muy hermosos sobre el barco, visitar las islas de los uros e isla Taquile fue realmente muy impresionante"
5,26 marzo 2017,Toda una experiencia,"Un tour de uno o dos días es imprescindible para conocer algunas de sus islas (de Uros,de Taquile o de Amantani). Merece la pena por la singularidad de las islas y la de sus habitantes. La lastima es la degradación que sufre el lago y...Más"
5,24 marzo 2017,Hermoso lugar,"El lago Titicaca es muy hermoso tiene una vista espectacular y el viaje en lancha a través de el es un viaje tranquilo que permite descansar la mente y el espíritu
Súper recomendado!!"
5,22 marzo 2017,Imperdible,"Visitar el Lago Titicaca es una experiencia inolvidable, nunca pensé que lo disfrutaría tanto y que fuera a ser lo más sobresaliente de mi viaje a Perú."
5,22 marzo 2017,Un lugar magico y lleno de cultura,"Hicimos un tour a los Uros del lago Titicaca y la verdad es que es un lugar hermoso. Ese día estaba lloviendo y hacía mucho frío, pero eso no impidió que disfrutáramos al máximo cada momento, las islas son muy hermosas y alojan toda la...Más"
4,18 marzo 2017,Hermoso y enorme lago,"Recorrí un poco del lago en un tour que contraté a en la agencia del hotel en el que me aloje en Puno, y lo disfruté mucho, es enorme!!! Y muy hermoso, y más cuando está despejado y se ven las montañas nevadas de Bolivia...Más"
5,15 marzo 2017,Preciosa visita por el Lago y sus islas.,"Gran excursión, muy entretenida y paisajes pintorescos y bellos. El barco fue muy cómodo y los servicios prestados se adaptaban perfectamente al programa."
4,15 marzo 2017,Inmenso y hermoso ,"Conocí el lago tanto en Bolivia como en Perú, hice el tour hacia las islas de los Uros, el lago es precioso, inmenso. Cuando regresas por la tarde, las luces de la ciudad reflejadas volviendo aún más bello el lugar. Por la humedad es un...Más"
5,14 marzo 2017,El 2 lago navegable mas grande de America,"Tienes que ir al Lago Titicaca, ademas si vas a las Islas Taquile y Uros tienes que pasar por su embarcadero, el lago es hermoso, sus atardeceres lo mejor, no puedes ir a Peru sin ir para allá."
4,13 marzo 2017,Una gran experiencia,"Nunca podrias imaginarte la magnitud de este lago y todo los animales que puedes encontar al verlo, de como te puedes sentir en contacto cob la naturaleza"
5,11 marzo 2017,Lago Titicaca,"Lo que impacta de este paseo es la majestuosidad, encontrarse ante sitios de un legado histórico importante para las culturas andinas y con una naturaleza maravillosa, con los Illimani casi al alcance de la mano y las frías aguas del lago mansas y como un...Más"
5,9 marzo 2017,Majestuoso,"Es algo fuera de lo común es real mente hermoso las vistas desde la ciudad de Puno son impresionantes, recomendable llevar ropa abrigada lentes de sol y sombrero y cámara las vistas son impresionantes 100% recomendable."
4,6 marzo 2017,El lago de muchas historias,"Titicaca según dicen es el lago navegable más alto del mundo, pero lo que más me interesó de el fueron sus historias y los pueblos que viven en el. Visitar los Uros es un ""must"" y quedarse en la isla de Amantani o Taquile no...Más"
5,1 marzo 2017,Hermoso regalo del Perú,Es un lugar hermoso que vale la pena visitar. Se puede hacer un tour de 1 día para visitar la Isla de Urus y Taquile o de 2 días para visitar además Amantani donde uno es hospedado en la casa de los habitantes de la...Más
4,1 marzo 2017,Tomar el tour con opción a Uros y Taquile,"Tengan cuidado pues al inicio del puerto para tomar los viajes a las islas hay una caseta de ""informes"" pero el señor no informa bien y solo te trata de vender un boleto a la isla de los Uros con determinada embarcación. Si caminas hasta...Más"
4,1 marzo 2017,lINDO LUGAR,"Hermoso para descansar, muy recomendable!
Las vistas son espectaculares anochecer, amanecer, del calvario, realmente increible!"
5,1 marzo 2017,"imperdible, emblematico.","Puno es el lago, diversos tipos de tour para visitarlo y a todo precio.
Desde pequeños paseos de media hora hasta visditas a las islas y el lado Boliviano.
No dejar de visistarlo, las embarcaciones son comodas y la visita es muy tranquila."
4,26 febrero 2017,Lastima de la lluvia,Muy padre ya que es de los lugares curriculares si de mochila al hombro se trata... Solo hay que tener cuidado con el transporte (si vienen en bus) ya que hay lineas que hacen paradas en cada pueblo y eso puede ser demasiado cansado y...Más
5,24 febrero 2017,Impresionante,"A pesar del soroche maximo, del dolor de cabeza y de las lluvias nocturnas...el paisaje que ofrece el Lago Titicaca vale la pena el esfuerzo."
5,22 febrero 2017,hermoso,almorzar al lado del lago titicaca es una experiencia que no se deberian perder. Navegar una tarde ... magico!
5,20 febrero 2017,Impresonante hay que visitarlo,"Una experiencia única el navegar por el lago y llegar a las Islas Uros y Taquile fue una hermosa experiencia. Sus habitantes tan amables ,obviamente viven del turismo pero continúan con sus costumbres intactas. Recomiendo que vayan a conocerlo no se van arrepentir ."
5,15 febrero 2017,Recomendable como salida por el día,"Tomamos un tour que nos costó 50 Soles por persona e incluía una visita a la Isla de Los Uros y a la Isla Taquile, en donde almorzamos. A medida que nos alejamos de la costa, el paisaje se hizo mucho más bonito, se pueden...Más"
5,15 febrero 2017,"""MARAVILLAS DE LA NATURALEZA...""","Por mi paseo por el Altiplano andino, no iba faltar la visita a esta maravilla de la naturaleza. A una altitud de aprox. 3800 msnm, haciendo frontera entre dos países Bolivia y Perú, con un área de aprox. 8500 km2 y su profundidad máxima es...Más"
4,14 febrero 2017,Excelente Opcion para visitar en Peru.,"Generalmente, la mayoria de turistas como segunda opcion, escogen otros sitios de los tantos que tiene Peru, pero estar en el Lago con mas altitud en el mundo es una excelente opcion."
5,13 febrero 2017,La Fiesta de la Candelaria,"Era la primera vez que viajaba a Puno, nunca pensé que tan hermoso, alucinante y lleno de energía y misterio podía ser el Lago Titicaca.
Debo volver para poder pasearme en sus aguas. Me enamoré de esa hermosura."
3,12 febrero 2017,Encantador,El lago Titicaca tiene muchas idlas flotantes con gente amsble su comida mas bien no es tan buena te aconsejo comprar en la ciudad y llevarte a las islas . Tuene bonitos lugares para sacar fotos suerte.
5,6 febrero 2017,Extraordinario ,Fuimos como parte del recorrido de nuestra luna de miel por Perú. Nos encontrarnos con los Uros que viven en sus islas flotantes. Ya sus costumbres se han perdido un poco. Pero aún sobreviven por el turismo. Tratan de mostrar a los turistas cómo eran...Más
5,5 febrero 2017,Bonita sorpresa.,"El tour que compramos puede hacerse en medio día. Me sentí maravillada con la inmensidad del Lago Titicaca; al ser navegable, pudimos ver algunos barcos bastante grandes en la orilla. Aunque sabía que el tour incluía la visita a las Islas flotantes de los Uros,...Más"
4,3 febrero 2017,Belleza natural,El contraste de las aguas del lago con el cielo mientras se navega por sus aguas se convierte en un deleite para la vista.
4,3 febrero 2017,Impresiona sus dimensión y decepciona cierta dejadez y lo que nos cobran a los turistas por todo,"Hay actividades a realizar tanto desde Copacabana, como de Puno con variedad de calidades desde muy buenas a mediocres, por lo que hay que asegurarse de lo que queremos hacer según nuestros gustos. Lo mas interesante para mí fueron el mismo lago, de dimensiones impresionanates,...Más"
4,2 febrero 2017,beautiful lake,"yo y mi familia pasear por lago todo el dia,beautiful beautiful,,mis niños entusiasmados gusta mucho ,i take many pics for show family in russia ,,excelente lugar bolivia,esposo quiere vivir aqui en BOLIVIA"
4,29 enero 2017,"El lago es increíble, pero es una pena lo sucio y contaminado que está","Siempre quise visitar el lago navegable más alto del mundo... y la visita en si fue muy bonita y para recordar... las islas flotantes muy impresionantes y Taquile es un espectáculo visual... pero el lago está muy contaminado, a las orillas de Puno parece un...Más"
5,27 enero 2017,Visita esencial,Vale la pena gastar uno o dos dias en Puno y poder coger un barco y poder visitar el lago de más altura del mundo. Interesante poder ver las islas flotantes e incluso poder hospedarse en alguna de ellas.
4,22 enero 2017,Catamaran a Isla del Sol,Travesia interesante navegando por el lago navegable mas alto del mundo. Visita a la Isla del sol. Muy buen servicio de comida a bordo.
5,20 enero 2017,Majestuoso,Es increíble que la naturaleza permita un lugar así en el mundo. Que a esa altura haya un lago de esa amplitud y navegable.
5,20 enero 2017,Visita a Islas Uros,"Interesante viaje a conocer esta curiosa cultura. El tour permite conocer en detalle la forma de vida de los Uros, y compartir con ellos unos momentos. Son gente muy amable y sencilla. Venden artesanías a muy buen precio y hechas por ellos mismos."
4,15 enero 2017,El lago navegable mas alto del mundo.,"Es una buena experiencia navegar en las aguas del lago mas alto del mundo, es muy grande y pueden verse vistas interesantes de la ciudad. Un bonito paseo."
5,12 enero 2017,Espectacular ,"Tanto por Perú como por Bolivia, el lago no te dejará indiferente. De tamaño desproporcionado y de belleza extrema."
4,7 enero 2017,Hermoso,Hermoso lugar al que vale la pena venir. Se complica un poco navegar y tomar buenas fotos o apreciar el paisaje cuando hace frío. Las embarcaciones son bastante lentas por lo que los paseos que se planeen deben tener en cuenta eso para no causar retrasos. 
5,4 enero 2017,Naturaleza espectacular,"La votación de 5 pontos es devida al factor que hay una naturaleza especial, fuera del comum.
Los juegos de las nuvens con el color del agua es algo de único.
El lago es limpio y relajarte, ótima experiência una vez en la vida!"
5,2 enero 2017,Tiene que conocerlo,"Es un lago impresionante en tamaño y ademas por la altura y por su conformación, ademas de que proyecta paz y tranquilidad"
4,30 diciembre 2016,Impresionante,"pasear en lancha por el Lago mas alto del mundo es impresionante ,se ve inmenso .El viaje es tranquilo, las aguas se mueven poco no da miedo que pueda pasar un accidente"
4,28 diciembre 2016,Lago más alto,El lago por el lado peruano desde la ciudad de Puno tiene una vista muy bonita se puede tomar una lancha e ir a las islas de los Uros lo cual resulta interesante
5,28 diciembre 2016,Amé,"Lo más bonito de Puno.
El paisaje es increíble, respiras aire puro y puedes ver cómo el cielo se pierde con el agua."
3,28 diciembre 2016,No se dejen enganar chicos !,"tuve la oportunidad de visitar la isla flotante de los Uros y tengo q comunicarles que tengan mucho cuidado porque no en todas las islas flotantes viven los pobladores, es triste que nos mientan solo para hacer dinero almenos estoy segura que en las islas...Más"
5,27 diciembre 2016,paz y azul,"paso obligado!! inmensa laguna azul y una paz y tranquilidad por esos lugares, el punto negativo que las personas que viven por ahi pues no parecen vivir ahi realmente, es todo como un poco construido, pero solo por ver el paisaje vale realmente la pena,...Más"
4,26 diciembre 2016,Hermoso lago,"Una fuente de agua dulce a mas de 3800 msnm, bellos paisajes y una experiencia inolvidable, cultura viva y mucha historia.."
5,25 diciembre 2016,Indispensable!,"El paseo por el lago es una experiencia indispensable de todo visitante de Perú. Es el lago situado a mayor altitud, en él descubrimos las islas flotantes de los Uros quienes nos reciben en ellas con calidez, nos explican cómo construyen sus islas y ofrecen...Más"
5,21 diciembre 2016,"Paseo imperdible, el recorrido por el lago Titicaca es maravilloso","Ver y vivir como esa gente vive en las islas flotantes es maravilloso, estar ahi, escuchar su historia de como hacen ese lugar unico para vivir te deja sin palabras. IMPERDIBLE EXPERIENCIA"
5,19 diciembre 2016,Impresionante,"Bellísimo lago,a mis amigos y a mí nos encantó , los tours son buenos la comida muy rica y étnica .El estilo de vida de los habitantes es impresionante"
4,19 diciembre 2016,"Muy, pero Muy grande!!!","Fue una jornad de relax en el lago mas grande que he visto. El paisaje es sencillo, pero tiene ese no se que que esta mas alto que varios."
5,19 diciembre 2016,visita obligada,"contratamos un tour con navegación y alojamiento en las islas, fue una grata experiencia compartir con los pobladores de las islas, dado que no existen hoteles,"
5,19 diciembre 2016,isla de los uros,"Si bien hay tres islas que visitar en el lago, solo alcanzamos a ir a la isla de los uros,por que nos apunamos y perdimos en recuperarnos. Salen las lanchas desde el puerto y el precio es muy barato, al llegar a la isla te...Más"
5,18 diciembre 2016,Un paraíso a más de 3.000 sobre el nivel del mar,"El mayor lago navegable del mundo a más de 3.000m. es un ejemplo de adaptación de la cultura Inca a un entorno privilegiado del que obtenía excelentes cosechas y en el que se mantenía en un envidiable equilibrio ecológico con la Pachamama (Madre Tierra).
Más...Más"
5,13 diciembre 2016,Hermoso,"Me encanta, te recarga de energía, se lleva todas las cosas pesadas y preocupaciones que uno carga. Lo están limpiando y tratando, se ve hermoso. El lago mayor es una maravilla, me encanta!"
5,11 diciembre 2016,Imposible no visitar!,"Es el lugar más increíble de la estadía en Puno, un sitio único el cual no debe pasar por desapercibido. Es mucho más que magia, cultura, admiración y paisaje.
Qué gran lugar comparten los peruanos!"
5,10 diciembre 2016,Maravilloso!!!,"Inmenso mar de agua cristalina que permite ver como nos alejamos de la ciudad de Puno, luego recorrer las islas flotantes de los Uros y mas tarde llegar a Tarquile"
4,6 diciembre 2016,Sensación de estar en otro planeta,"Afortunadamente nos quedamos hasta el atardecer, noche de luna llena, fue un espectáculo. Hay que evitar ofertas o confianza con los nativos ya que te quieren vender hasta el lago."
4,1 diciembre 2016,Lago de agua dulce mas alto del mundo,"LA inmensidad de este lago es contrastada por el reflejo del cielo azul profundo del altiplano, merece sin duda navegar y disfrutar de esta maravilla paisajistica"
5,21 noviembre 2016,Extraordinario,"Para los amantes del agua y de la naturaleza es visita obligada.
Lo recomiendo. Me quedé durante una semana. Es un lugar bello, hermoso, único. Valió la pena."
5,21 noviembre 2016,Espectacular ,"La visita del hotel directamente al lago Titicaca, es un bello lugar imposible no disfrutarlo si estás en Puno. Cuando sale y se oculta el sol es una hermosa vista. Impresionante"
5,21 noviembre 2016,Me enamore !!,"Creo que si eres peruano debes conocer el lago Titicaca es simplemente hermoso, el color del agua, las montañas, las nubes todo es perfecto, navegas conociendo las islas súper relajarte !!!"
5,21 noviembre 2016,El mejor lugar del mundo!,"Gracias a Dios lo conoci a mis 22 años, y es mas de lo que soñe :) Gracias por todo Inka Tours. Conoci Islas Uros y Taquile :)"
5,20 noviembre 2016,Impresionante!!!,"Nunca pensé estar tan maravillada con el Lago Titicaca, lo que se ve en fotos no es nada a comparación de estar ahí. Hice un paseo con kayak y luego en lancha y quedé boquiabierta. Es un lugar muy relajante y hermoso, más grande de...Más"
5,19 noviembre 2016,Único y majestuoso,"Pasear por el lago es una experiencia única y maravillosa, viajar sobre sus aguas me hizo recordar aquellas clases en el colegio en el que me explicaban con imágenes como es el lago. Fue maravilloso al fin viajar por sus aguas."
5,17 noviembre 2016,Recomendado 100%,"Por poco me lo pierdo porque no teníamos suficiente tiempo. Desde Cusco puedes optar por el tour de uno o dos días, nosotros elegimos la opción de un solo día, en la que visitas las islas de los Uros y Taquile. Salimos desde Cusco en...Más"
5,14 noviembre 2016,hermoso y unico,"es ineludible visitarlo, pasear en lanchas y conocer sus habitantes, como viven y costumbres, intenso trafico portuario"
5,14 noviembre 2016,Cuesta asimilar la experiencia,"Estamos a 3812 mts de altura, donde el esfuerzo requerido para movilizarse es mayor para quienes habitamos tierras mas llanas. 8300 kmts cuadrados, 190 kmts de largo por unos 70 kmts de ancho y en algunos lugares mas de 250 mts de profundidad. Majestuosa vista...Más"
5,11 noviembre 2016,Imperdible,"Vistas panorámicas impactantes, la cultura y tradiciones de sus pobladores, el color y transparencia de sus aguas, todo suma para que esta visita sea un clásico obligado en Sudamérica."
